domain,left,right,left_total,right_total,left_share,right_share
actionnetwork.org,27.0,1.0,334894,260132,8.06225253363751e-5,3.84420217428075e-6
actions.priceofoil.org,4.0,0.0,334894,260132,1.1944077827611124e-5,0.0
actionsprout.io,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
activateiowa.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
activist-wear.com,34.0,0.0,334894,260132,1.0152466153469456e-4,0.0
activistpost.com,0.0,6.0,334894,260132,0.0,2.3065213045684498e-5
actualidad.rt.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
adambaumsocal.wordpress.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
ADDClasses.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
addictinginfo.org,15.0,0.0,334894,260132,4.479029185354172e-5,0.0
adirondackdailyenterprise.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
adpemploymentreport.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
advocate.com,5.0,1.0,334894,260132,1.4930097284513906e-5,3.84420217428075e-6
adweek.it,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
aei.org,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
aeinstein.org,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
afa.net,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
affinitymagazine.us,17.0,0.0,334894,260132,5.076233076734728e-5,0.0
afr.com,6.0,0.0,334894,260132,1.7916116741416687e-5,0.0
africanamerica.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
afropunk.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
afsc.org,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
afteractionreporting.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
ahtribune.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
aim.org,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
ajc.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
aje.io,7.0,0.0,334894,260132,2.090213619831947e-5,0.0
ajplus.co,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
akkadiantimes.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
al.com,4.0,1.0,334894,260132,1.1944077827611124e-5,3.84420217428075e-6
alamoministries.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
alangorg.wordpress.com,35.0,0.0,334894,260132,1.0451068099159734e-4,0.0
alanowhere.imgur.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
alexanderhiggins.com,2.0,4.0,334894,260132,5.972038913805562e-6,1.5376808697123e-5
alfiusa.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
aljazeera.com,12.0,1.0,334894,260132,3.5832233482833374e-5,3.84420217428075e-6
all-that-is-interesting.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
allafrica.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
allenbwest.com,1.0,161.0,334894,260132,2.986019456902781e-6,6.189165500592007e-4
allenwestrepublic.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
ALLOUTHUSTLE.COM,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
allusaclothing.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
alt-right.ca,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
alternative-right.blogspot.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
alternet.org,48.0,1.0,334894,260132,1.433289339313335e-4,3.84420217428075e-6
altfactera.com,3.0,0.0,334894,260132,8.958058370708343e-6,0.0
altleft.rocks,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
altright.com,0.0,10.0,334894,260132,0.0,3.84420217428075e-5
alturl.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
amac.us,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
amatotalk.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
amazon.com,98.0,21.0,334894,260132,2.926299067764726e-4,8.072824565989575e-5
ameblo.jp,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
america.aljazeera.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
americafans.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
americafirst21stcentury.blogspot.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
americafirstpolicies.org,0.0,419.0,334894,260132,0.0,0.0016107207110236342
americainformer.com,0.0,3.0,334894,260132,0.0,1.1532606522842249e-5
AmericaIsGreatAgain.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
americandownfall.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
americanfreepress.net,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
americanlookout.com,0.0,27.0,334894,260132,0.0,1.0379345870558025e-4
americannews.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
americannewsx.com,6.0,0.0,334894,260132,1.7916116741416687e-5,0.0
americanow.com,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
americanpatriotdaily.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
americanprogress.org,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
americanthinker.com,3.0,24.0,334894,260132,8.958058370708343e-6,9.226085218273799e-5
americanwatchmen.org,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
americasfreedomfighters.com,0.0,4.0,334894,260132,0.0,1.5376808697123e-5
americaspaper.cf,12.0,372.0,334894,260132,3.5832233482833374e-5,0.001430043208832439
americaspaper.ml,0.0,238.0,334894,260132,0.0,9.149201174788184e-4
americatalks.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
amfor.net,0.0,4.0,334894,260132,0.0,1.5376808697123e-5
amgreatness.com,0.0,4.0,334894,260132,0.0,1.5376808697123e-5
ammoland.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
amnesty.org,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
amp.cnn.com,20.0,2.0,334894,260132,5.9720389138055625e-5,7.6884043485615e-6
amp.nj.com,1.0,1.0,334894,260132,2.986019456902781e-6,3.84420217428075e-6
amp.theguardian.com,8.0,1.0,334894,260132,2.3888155655222248e-5,3.84420217428075e-6
amp.twimg.com,12.0,14.0,334894,260132,3.5832233482833374e-5,5.38188304399305e-5
amp.usatoday.com,25.0,0.0,334894,260132,7.465048642256953e-5,0.0
amren.com,0.0,4.0,334894,260132,0.0,1.5376808697123e-5
amsterdamnews.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
amtvmedia.vhx.tv,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
amzn.to,98.0,40.0,334894,260132,2.926299067764726e-4,1.5376808697123e-4
analysisanddiscourse.com,1.0,0.0,334894,260132,2.986019456902781e-6,0.0
anaprose.wordpress.com,7.0,0.0,334894,260132,2.090213619831947e-5,0.0
ancestry.com,2.0,0.0,334894,260132,5.972038913805562e-6,0.0
and-more.beforeitsnews.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
andywiener.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
angrypatriotmovement.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
anonews.co,0.0,13.0,334894,260132,0.0,4.997462826564975e-5
anonhq.com,1.0,3.0,334894,260132,2.986019456902781e-6,1.1532606522842249e-5
anonscandinavia.byethost11.com,0.0,2.0,334894,260132,0.0,7.6884043485615e-6
anonymousconservative.com,0.0,1.0,334894,260132,0.0,3.84420217428075e-6
